Tick (ms),ADC Value,ForceValue
17036,4,2.706206897
17038,-4,-2.706206897
17040,8,5.412413793
17042,-13,-8.795172414
17044,-5,-3.382758621
17046,16,10.82482759
17048,-7,-4.735862069
17050,0,0
17052,19,12.85448276
17054,6,4.059310345
17056,26,17.59034483
17058,20,13.53103448
17060,0,0
17062,-7,-4.735862069
17064,-9,-6.088965517
17066,17,11.50137931
17068,26,17.59034483
17070,8,5.412413793
17072,-16,-10.82482759
17074,3,2.029655172
17076,5,3.382758621
17078,9,6.088965517
17080,3,2.029655172
17082,3,2.029655172
17084,13,8.795172414
17086,3,2.029655172
17088,-3,-2.029655172
17090,10,6.765517241
17092,-8,-5.412413793
17094,4,2.706206897
17096,27,18.26689655
17098,-2,-1.353103448
17100,33,22.3262069
17102,22,14.88413793
17104,26,17.59034483
17106,14,9.471724138
17108,-15,-10.14827586
17110,-27,-18.26689655
17112,-3,-2.029655172
17114,-41,-27.73862069
17116,-31,-20.97310345
17118,-9,-6.088965517
17120,10,6.765517241
17122,-6,-4.059310345
17124,3,2.029655172
17126,23,15.56068966
17128,-9,-6.088965517
17130,-14,-9.471724138
17132,-31,-20.97310345
17134,-47,-31.79793103
17136,-40,-27.06206897
17138,-3,-2.029655172
17140,31,20.97310345
17142,24,16.23724138
17144,8,5.412413793
17146,-15,-10.14827586
17148,-47,-31.79793103
17150,-31,-20.97310345
17152,-53,-35.85724138
17154,-40,-27.06206897
17156,-15,-10.14827586
17158,-11,-7.442068966
17160,8,5.412413793
17162,1,0.676551724
17164,-9,-6.088965517
17166,-31,-20.97310345
17168,-44,-29.76827586
17170,-45,-30.44482759
17172,-20,-13.53103448
17174,2,1.353103448
17176,17,11.50137931
17178,-4,-2.706206897
17180,1,0.676551724
17182,-32,-21.64965517
17184,-24,-16.23724138
17186,-40,-27.06206897
17188,-32,-21.64965517
17190,1,0.676551724
17192,2,1.353103448
17194,15,10.14827586
17196,-2,-1.353103448
17198,-3,-2.029655172
17200,-21,-14.20758621
17202,-4,-2.706206897
17204,-25,-16.9137931
17206,-18,-12.17793103
17208,-11,-7.442068966
17210,-16,-10.82482759
17212,8,5.412413793
17214,-16,-10.82482759
17216,-7,-4.735862069
17218,-12,-8.11862069
17220,-15,-10.14827586
17222,-20,-13.53103448
17224,-15,-10.14827586
17226,-14,-9.471724138
17228,-9,-6.088965517
17230,3,2.029655172
17232,-39,-26.38551724
17234,-34,-23.00275862
17236,-13,-8.795172414
17238,-36,-24.35586207
17240,-22,-14.88413793
17242,-34,-23.00275862
17244,-44,-29.76827586
17246,-27,-18.26689655
17248,-41,-27.73862069
17250,-20,-13.53103448
17252,-18,-12.17793103
17254,-43,-29.09172414
17256,-16,-10.82482759
17258,-33,-22.3262069
17260,-58,-39.24
17262,-53,-35.85724138
17264,-52,-35.18068966
17266,-23,-15.56068966
17268,-28,-18.94344828
17270,-16,-10.82482759
17272,-31,-20.97310345
17274,-14,-9.471724138
17276,-14,-9.471724138
17278,-54,-36.5337931
17280,-35,-23.67931034
17282,-30,-20.29655172
17284,-41,-27.73862069
17286,-19,-12.85448276
17288,-23,-15.56068966
17290,1,0.676551724
17292,-7,-4.735862069
17294,-27,-18.26689655
17296,-31,-20.97310345
17298,-25,-16.9137931
17300,-40,-27.06206897
17302,-11,-7.442068966
17304,-18,-12.17793103
17306,4,2.706206897
17308,-8,-5.412413793
17310,5,3.382758621
17312,-19,-12.85448276
17314,-13,-8.795172414
17316,-17,-11.50137931
17318,-18,-12.17793103
17320,-7,-4.735862069
17322,11,7.442068966
17324,13,8.795172414
17326,-2,-1.353103448
17328,-25,-16.9137931
17330,-1,-0.676551724
17332,-34,-23.00275862
17334,-29,-19.62
17336,-8,-5.412413793
17338,-21,-14.20758621
17340,-24,-16.23724138
17342,6,4.059310345
17344,-13,-8.795172414
17346,0,0
17348,10,6.765517241
17350,-9,-6.088965517
17352,-23,-15.56068966
17354,-19,-12.85448276
17356,-25,-16.9137931
17358,-38,-25.70896552
17360,-22,-14.88413793
17362,-39,-26.38551724
17364,-28,-18.94344828
17366,-28,-18.94344828
17368,-19,-12.85448276
17370,-10,-6.765517241
17372,-30,-20.29655172
17374,-50,-33.82758621
17376,-22,-14.88413793
17378,-47,-31.79793103
17380,-29,-19.62
17382,-20,-13.53103448
17384,0,0
17386,-16,-10.82482759
17388,13,8.795172414
17390,-28,-18.94344828
17392,-19,-12.85448276
17394,-22,-14.88413793
17396,-18,-12.17793103
17398,-26,-17.59034483
17400,5,3.382758621
17402,24,16.23724138
17404,23,15.56068966
17406,0,0
17408,-6,-4.059310345
17410,-23,-15.56068966
17412,-38,-25.70896552
17414,-27,-18.26689655
17416,-2,-1.353103448
17418,20,13.53103448
17420,17,11.50137931
17422,25,16.9137931
17424,18,12.17793103
17426,-4,-2.706206897
17428,-18,-12.17793103
17430,-42,-28.41517241
17432,-16,-10.82482759
17434,10,6.765517241
17436,20,13.53103448
17438,22,14.88413793
17440,18,12.17793103
17442,2,1.353103448
17444,-26,-17.59034483
17446,-33,-22.3262069
17448,-31,-20.97310345
17450,-20,-13.53103448
17452,11,7.442068966
17454,10,6.765517241
17456,17,11.50137931
17458,21,14.20758621
17460,6,4.059310345
17462,-27,-18.26689655
17464,-18,-12.17793103
17466,-19,-12.85448276
17468,-23,-15.56068966
17470,0,0
17472,18,12.17793103
17474,-13,-8.795172414
17476,0,0
17478,-18,-12.17793103
17480,-22,-14.88413793
17482,-26,-17.59034483
17484,-22,-14.88413793
17486,-22,-14.88413793
17488,-8,-5.412413793
17490,-12,-8.11862069
17492,6,4.059310345
17494,-12,-8.11862069
17496,-11,-7.442068966
17498,-7,-4.735862069
17500,-20,-13.53103448
17502,8,5.412413793
17504,10,6.765517241
17506,14,9.471724138
17508,18,12.17793103
17510,0,0
17512,-5,-3.382758621
17514,8,5.412413793
17516,38,25.70896552
17518,36,24.35586207
17520,42,28.41517241
17522,46,31.12137931
17524,42,28.41517241
17526,21,14.20758621
17528,9,6.088965517
17530,-7,-4.735862069
