Tick (ms),ADC Value,ForceValue
26326,13,8.795172414
26328,23,15.56068966
26330,2,1.353103448
26332,-14,-9.471724138
26334,-1,-0.676551724
26336,16,10.82482759
26338,36,24.35586207
26340,52,35.18068966
26342,54,36.5337931
26344,21,14.20758621
26346,18,12.17793103
26348,2,1.353103448
26350,-9,-6.088965517
26352,-4,-2.706206897
26354,-6,-4.059310345
26356,12,8.11862069
26358,36,24.35586207
26360,17,11.50137931
26362,31,20.97310345
26364,-1,-0.676551724
26366,-19,-12.85448276
26368,-37,-25.03241379
26370,-32,-21.64965517
26372,-22,-14.88413793
26374,-3,-2.029655172
26376,-4,-2.706206897
26378,26,17.59034483
26380,-10,-6.765517241
26382,0,0
26384,2,1.353103448
26386,-15,-10.14827586
26388,-25,-16.9137931
26390,-24,-16.23724138
26392,-21,-14.20758621
26394,-11,-7.442068966
26396,4,2.706206897
26398,-6,-4.059310345
26400,-6,-4.059310345
26402,-15,-10.14827586
26404,-23,-15.56068966
26406,-41,-27.73862069
26408,-15,-10.14827586
26410,4,2.706206897
26412,4,2.706206897
26414,5,3.382758621
26416,4,2.706206897
26418,13,8.795172414
26420,0,0
26422,-14,-9.471724138
26424,-21,-14.20758621
26426,-8,-5.412413793
26428,11,7.442068966
26430,42,28.41517241
26432,18,12.17793103
26434,46,31.12137931
26436,26,17.59034483
26438,25,16.9137931
26440,-13,-8.795172414
26442,-1,-0.676551724
26444,-7,-4.735862069
26446,11,7.442068966
26448,35,23.67931034
26450,40,27.06206897
26452,33,22.3262069
26454,28,18.94344828
26456,-1,-0.676551724
26458,0,0
26460,15,10.14827586
26462,-4,-2.706206897
26464,-8,-5.412413793
26466,13,8.795172414
26468,9,6.088965517
26470,11,7.442068966
26472,8,5.412413793
26474,0,0
26476,-11,-7.442068966
26478,-4,-2.706206897
26480,-4,-2.706206897
26482,-10,-6.765517241
26484,-19,-12.85448276
26486,-31,-20.97310345
26488,8,5.412413793
26490,-2,-1.353103448
26492,-18,-12.17793103
26494,10,6.765517241
26496,-10,-6.765517241
26498,-19,-12.85448276
26500,-8,-5.412413793
26502,-17,-11.50137931
26504,-46,-31.12137931
26506,-48,-32.47448276
26508,-40,-27.06206897
26510,-3,-2.029655172
26512,-24,-16.23724138
26514,16,10.82482759
26516,15,10.14827586
26518,2,1.353103448
26520,-1,-0.676551724
26522,-24,-16.23724138
26524,-25,-16.9137931
26526,-29,-19.62
26528,-17,-11.50137931
26530,12,8.11862069
26532,17,11.50137931
26534,11,7.442068966
26536,-12,-8.11862069
26538,11,7.442068966
26540,-28,-18.94344828
26542,8,5.412413793
26544,-9,-6.088965517
26546,6,4.059310345
26548,13,8.795172414
26550,32,21.64965517
26552,19,12.85448276
26554,39,26.38551724
26556,-2,-1.353103448
26558,-9,-6.088965517
26560,2,1.353103448
26562,-17,-11.50137931
26564,28,18.94344828
26566,28,18.94344828
26568,18,12.17793103
26570,34,23.00275862
26572,24,16.23724138
26574,-22,-14.88413793
26576,-21,-14.20758621
26578,-12,-8.11862069
26580,-14,-9.471724138
26582,-13,-8.795172414
26584,13,8.795172414
26586,17,11.50137931
26588,19,12.85448276
26590,-11,-7.442068966
26592,-14,-9.471724138
26594,-15,-10.14827586
26596,-48,-32.47448276
26598,-53,-35.85724138
26600,-34,-23.00275862
26602,-11,-7.442068966
26604,-21,-14.20758621
26606,-11,-7.442068966
26608,-8,-5.412413793
26610,-18,-12.17793103
26612,-49,-33.15103448
26614,-38,-25.70896552
26616,-40,-27.06206897
26618,-40,-27.06206897
26620,-20,-13.53103448
26622,-4,-2.706206897
26624,-18,-12.17793103
26626,-19,-12.85448276
26628,-15,-10.14827586
26630,-24,-16.23724138
26632,-34,-23.00275862
26634,-37,-25.03241379
26636,-20,-13.53103448
26638,-36,-24.35586207
26640,-29,-19.62
26642,3,2.029655172
26644,-9,-6.088965517
26646,-15,-10.14827586
26648,-5,-3.382758621
26650,-22,-14.88413793
26652,5,3.382758621
26654,-8,-5.412413793
26656,-21,-14.20758621
26658,-25,-16.9137931
26660,-14,-9.471724138
26662,-10,-6.765517241
26664,-8,-5.412413793
26666,19,12.85448276
26668,-3,-2.029655172
26670,12,8.11862069
26672,-13,-8.795172414
26674,-11,-7.442068966
26676,0,0
26678,-5,-3.382758621
26680,4,2.706206897
26682,9,6.088965517
26684,-11,-7.442068966
26686,13,8.795172414
26688,-1,-0.676551724
26690,-29,-19.62
26692,-46,-31.12137931
26694,-31,-20.97310345
26696,-14,-9.471724138
26698,-6,-4.059310345
26700,-8,-5.412413793
26702,-12,-8.11862069
26704,-27,-18.26689655
26706,-15,-10.14827586
26708,-24,-16.23724138
26710,-53,-35.85724138
26712,-49,-33.15103448
26714,-29,-19.62
26716,-25,-16.9137931
26718,-36,-24.35586207
26720,-34,-23.00275862
26722,-34,-23.00275862
26724,-20,-13.53103448
26726,-46,-31.12137931
26728,-43,-29.09172414
26730,-47,-31.79793103
26732,-31,-20.97310345
26734,-12,-8.11862069
26736,-28,-18.94344828
26738,-13,-8.795172414
26740,-33,-22.3262069
26742,-44,-29.76827586
26744,-33,-22.3262069
26746,-42,-28.41517241
26748,-44,-29.76827586
26750,-24,-16.23724138
26752,-10,-6.765517241
26754,-8,-5.412413793
26756,-18,-12.17793103
26758,1,0.676551724
26760,-1,-0.676551724
26762,-14,-9.471724138
26764,-35,-23.67931034
26766,-29,-19.62
26768,-16,-10.82482759
26770,-25,-16.9137931
26772,4,2.706206897
26774,-17,-11.50137931
26776,10,6.765517241
26778,23,15.56068966
26780,-5,-3.382758621
26782,13,8.795172414
26784,-20,-13.53103448
26786,-20,-13.53103448
26788,-28,-18.94344828
26790,-13,-8.795172414
26792,6,4.059310345
26794,14,9.471724138
26796,-1,-0.676551724
26798,4,2.706206897
26800,-14,-9.471724138
26802,-28,-18.94344828
26804,-10,-6.765517241
26806,-16,-10.82482759
26808,-34,-23.00275862
26810,-23,-15.56068966
26812,-18,-12.17793103
26814,8,5.412413793
26816,-9,-6.088965517
26818,-27,-18.26689655
26820,3,2.029655172
26822,-25,-16.9137931
26824,-22,-14.88413793
26826,-50,-33.82758621
26828,-23,-15.56068966
26830,-37,-25.03241379
26832,-22,-14.88413793
26834,0,0
26836,-9,-6.088965517
26838,-34,-23.00275862
26840,-37,-25.03241379
26842,-29,-19.62
26844,-27,-18.26689655
26846,-32,-21.64965517
26848,-18,-12.17793103
26850,-11,-7.442068966
26852,-15,-10.14827586
26854,-8,-5.412413793
26856,-13,-8.795172414
26858,-6,-4.059310345
26860,-36,-24.35586207
26862,-13,-8.795172414
26864,-30,-20.29655172
26866,-28,-18.94344828
26868,9,6.088965517
26870,0,0
26872,12,8.11862069
26874,-18,-12.17793103
26876,-13,-8.795172414
26878,-8,-5.412413793
26880,-8,-5.412413793
26882,10,6.765517241
26884,-12,-8.11862069
26886,-3,-2.029655172
26888,29,19.62
26890,17,11.50137931
26892,5,3.382758621
26894,-5,-3.382758621
26896,-1,-0.676551724
26898,-4,-2.706206897
26900,-14,-9.471724138
26902,-16,-10.82482759
26904,-8,-5.412413793
26906,-9,-6.088965517
26908,2,1.353103448
26910,0,0
26912,-14,-9.471724138
26914,15,10.14827586
26916,-1,-0.676551724
26918,-11,-7.442068966
26920,-12,-8.11862069
26922,-20,-13.53103448
26924,2,1.353103448
26926,19,12.85448276
26928,-8,-5.412413793
26930,-11,-7.442068966
26932,-10,-6.765517241
26934,-3,-2.029655172
26936,-40,-27.06206897
26938,-37,-25.03241379
26940,-21,-14.20758621
26942,-4,-2.706206897
26944,4,2.706206897
26946,6,4.059310345
26948,-13,-8.795172414
26950,-2,-1.353103448
26952,-34,-23.00275862
26954,-15,-10.14827586
26956,-29,-19.62
26958,-33,-22.3262069
26960,-22,-14.88413793
26962,-6,-4.059310345
26964,10,6.765517241
26966,1,0.676551724
26968,-7,-4.735862069
26970,-17,-11.50137931
26972,7,4.735862069
26974,-15,-10.14827586
26976,-23,-15.56068966
26978,-9,-6.088965517
26980,1,0.676551724
26982,9,6.088965517
26984,0,0
26986,25,16.9137931
26988,14,9.471724138
26990,13,8.795172414
26992,12,8.11862069
26994,-9,-6.088965517
26996,0,0
26998,9,6.088965517
27000,20,13.53103448
27002,39,26.38551724
27004,17,11.50137931
27006,15,10.14827586
27008,-15,-10.14827586
27010,-12,-8.11862069
27012,-18,-12.17793103
27014,-9,-6.088965517
27016,34,23.00275862
27018,33,22.3262069
27020,48,32.47448276
27022,-7,-4.735862069
27024,-8,-5.412413793
27026,-2,-1.353103448
27028,-17,-11.50137931
27030,-26,-17.59034483
27032,20,13.53103448
27034,15,10.14827586
27036,23,15.56068966
27038,27,18.26689655
27040,4,2.706206897
27042,-3,-2.029655172
27044,-21,-14.20758621
27046,-14,-9.471724138
27048,-2,-1.353103448
27050,2,1.353103448
27052,12,8.11862069
27054,-8,-5.412413793
27056,-17,-11.50137931
27058,-3,-2.029655172
27060,-6,-4.059310345
27062,0,0
27064,8,5.412413793
27066,0,0
27068,-26,-17.59034483
27070,-15,-10.14827586
27072,-24,-16.23724138
27074,-26,-17.59034483
27076,-16,-10.82482759
27078,-8,-5.412413793
27080,19,12.85448276
27082,10,6.765517241
27084,5,3.382758621
27086,4,2.706206897
27088,-9,-6.088965517
27090,-12,-8.11862069
27092,-4,-2.706206897
27094,-8,-5.412413793
27096,19,12.85448276
27098,0,0
27100,29,19.62
27102,12,8.11862069
27104,-7,-4.735862069
27106,-18,-12.17793103
27108,1,0.676551724
27110,-5,-3.382758621
27112,26,17.59034483
27114,36,24.35586207
27116,13,8.795172414
27118,35,23.67931034
27120,-9,-6.088965517
27122,-22,-14.88413793
27124,-19,-12.85448276
27126,-27,-18.26689655
27128,15,10.14827586
27130,8,5.412413793
27132,31,20.97310345
27134,40,27.06206897
27136,17,11.50137931
27138,-10,-6.765517241
27140,-9,-6.088965517
27142,-16,-10.82482759
27144,-8,-5.412413793
27146,-14,-9.471724138
27148,6,4.059310345
27150,14,9.471724138
27152,-7,-4.735862069
27154,-12,-8.11862069
27156,-12,-8.11862069
27158,-23,-15.56068966
27160,-20,-13.53103448
27162,-36,-24.35586207
27164,-16,-10.82482759
27166,-5,-3.382758621
27168,2,1.353103448
27170,22,14.88413793
27172,-1,-0.676551724
27174,-9,-6.088965517
27176,-40,-27.06206897
27178,-28,-18.94344828
27180,-20,-13.53103448
27182,-28,-18.94344828
27184,-15,-10.14827586
27186,-3,-2.029655172
27188,-20,-13.53103448
27190,-11,-7.442068966
27192,6,4.059310345
27194,-10,-6.765517241
27196,-1,-0.676551724
27198,-38,-25.70896552
27200,-15,-10.14827586
27202,-17,-11.50137931
27204,-24,-16.23724138
27206,-13,-8.795172414
27208,22,14.88413793
27210,7,4.735862069
27212,14,9.471724138
27214,-15,-10.14827586
27216,-32,-21.64965517
27218,-31,-20.97310345
27220,-20,-13.53103448
27222,-15,-10.14827586
27224,22,14.88413793
27226,15,10.14827586
27228,35,23.67931034
27230,23,15.56068966
27232,-25,-16.9137931
27234,-9,-6.088965517
27236,-1,-0.676551724
27238,-20,-13.53103448
27240,-20,-13.53103448
27242,13,8.795172414
27244,10,6.765517241
27246,0,0
27248,11,7.442068966
27250,-5,-3.382758621
27252,-26,-17.59034483
27254,-12,-8.11862069
27256,-20,-13.53103448
27258,-4,-2.706206897
27260,-25,-16.9137931
27262,-1,-0.676551724
27264,-8,-5.412413793
27266,3,2.029655172
27268,-17,-11.50137931
27270,-14,-9.471724138
27272,-20,-13.53103448
27274,-30,-20.29655172
27276,-24,-16.23724138
27278,-31,-20.97310345
27280,-2,-1.353103448
27282,-11,-7.442068966
27284,-17,-11.50137931
27286,-30,-20.29655172
27288,-37,-25.03241379
27290,-52,-35.18068966
27292,-41,-27.73862069
27294,-23,-15.56068966
27296,-31,-20.97310345
27298,-13,-8.795172414
27300,-11,-7.442068966
27302,-1,-0.676551724
27304,-28,-18.94344828
27306,-32,-21.64965517
27308,-25,-16.9137931
27310,-29,-19.62
27312,10,6.765517241
27314,9,6.088965517
27316,-19,-12.85448276
27318,-13,-8.795172414
27320,-29,-19.62
27322,-41,-27.73862069
27324,-26,-17.59034483
27326,-19,-12.85448276
27328,-6,-4.059310345
27330,9,6.088965517
27332,0,0
27334,-14,-9.471724138
27336,-28,-18.94344828
27338,-25,-16.9137931
27340,-1,-0.676551724
27342,-13,-8.795172414
27344,-14,-9.471724138
27346,-18,-12.17793103
27348,-25,-16.9137931
27350,-7,-4.735862069
27352,-17,-11.50137931
27354,-27,-18.26689655
27356,-31,-20.97310345
27358,-2,-1.353103448
27360,-3,-2.029655172
27362,4,2.706206897
27364,0,0
27366,-13,-8.795172414
27368,-40,-27.06206897
27370,-12,-8.11862069
27372,-33,-22.3262069
27374,-19,-12.85448276
27376,-5,-3.382758621
27378,-24,-16.23724138
27380,0,0
27382,-23,-15.56068966
27384,-16,-10.82482759
27386,-22,-14.88413793
27388,-52,-35.18068966
27390,-35,-23.67931034
27392,-41,-27.73862069
27394,-16,-10.82482759
27396,-25,-16.9137931
27398,-25,-16.9137931
27400,3,2.029655172
27402,-37,-25.03241379
27404,-52,-35.18068966
27406,-48,-32.47448276
27408,-24,-16.23724138
27410,-29,-19.62
27412,-4,-2.706206897
27414,-6,-4.059310345
27416,9,6.088965517
27418,10,6.765517241
27420,-6,-4.059310345
27422,-26,-17.59034483
27424,-37,-25.03241379
27426,-37,-25.03241379
27428,-37,-25.03241379
27430,-7,-4.735862069
27432,2,1.353103448
27434,-6,-4.059310345
27436,-1,-0.676551724
27438,12,8.11862069
27440,4,2.706206897
27442,8,5.412413793
27444,-7,-4.735862069
27446,-7,-4.735862069
27448,-10,-6.765517241
27450,3,2.029655172
27452,-22,-14.88413793
27454,9,6.088965517
27456,9,6.088965517
27458,-5,-3.382758621
27460,-1,-0.676551724
27462,-16,-10.82482759
27464,0,0
27466,-2,-1.353103448
27468,0,0
27470,-7,-4.735862069
27472,-15,-10.14827586
27474,-4,-2.706206897
27476,-12,-8.11862069
27478,-34,-23.00275862
27480,-19,-12.85448276
27482,-47,-31.79793103
27484,-35,-23.67931034
27486,-34,-23.00275862
27488,-9,-6.088965517
27490,19,12.85448276
27492,-2,-1.353103448
27494,-15,-10.14827586
27496,-5,-3.382758621
27498,-58,-39.24
27500,-61,-41.26965517
27502,-37,-25.03241379
27504,-51,-34.50413793
27506,-28,-18.94344828
27508,2,1.353103448
27510,-1,-0.676551724
27512,-3,-2.029655172
27514,-18,-12.17793103
27516,-44,-29.76827586
27518,-45,-30.44482759
27520,-50,-33.82758621
27522,-25,-16.9137931
27524,0,0
27526,-20,-13.53103448
27528,0,0
27530,5,3.382758621
27532,-5,-3.382758621
27534,-20,-13.53103448
27536,-31,-20.97310345
27538,-37,-25.03241379
27540,-23,-15.56068966
27542,2,1.353103448
27544,-5,-3.382758621
27546,2,1.353103448
27548,8,5.412413793
27550,-4,-2.706206897
27552,-15,-10.14827586
27554,-18,-12.17793103
27556,1,0.676551724
27558,-7,-4.735862069
27560,8,5.412413793
27562,33,22.3262069
27564,30,20.29655172
27566,14,9.471724138
27568,4,2.706206897
27570,-1,-0.676551724
27572,-4,-2.706206897
27574,1,0.676551724
27576,-11,-7.442068966
27578,19,12.85448276
27580,7,4.735862069
27582,8,5.412413793
27584,9,6.088965517
27586,-8,-5.412413793
27588,-15,-10.14827586
27590,8,5.412413793
27592,-1,-0.676551724
27594,-12,-8.11862069
27596,-9,-6.088965517
27598,-29,-19.62
27600,-30,-20.29655172
27602,-18,-12.17793103
27604,-26,-17.59034483
27606,7,4.735862069
27608,8,5.412413793
27610,24,16.23724138
27612,-9,-6.088965517
27614,-8,-5.412413793
27616,-31,-20.97310345
27618,-36,-24.35586207
27620,-34,-23.00275862
27622,-26,-17.59034483
27624,-23,-15.56068966
27626,-9,-6.088965517
27628,-6,-4.059310345
27630,-11,-7.442068966
27632,-19,-12.85448276
27634,-22,-14.88413793
27636,-9,-6.088965517
27638,-9,-6.088965517
27640,-13,-8.795172414
27642,2,1.353103448
27644,7,4.735862069
27646,23,15.56068966
27648,21,14.20758621
27650,-15,-10.14827586
27652,-9,-6.088965517
27654,-26,-17.59034483
27656,-17,-11.50137931
27658,-10,-6.765517241
27660,19,12.85448276
27662,48,32.47448276
27664,37,25.03241379
27666,46,31.12137931
27668,12,8.11862069
27670,-9,-6.088965517
27672,-30,-20.29655172
27674,-26,-17.59034483
27676,0,0
27678,15,10.14827586
27680,36,24.35586207
27682,46,31.12137931
27684,24,16.23724138
27686,18,12.17793103
27688,-12,-8.11862069
27690,-7,-4.735862069
27692,0,0
27694,-10,-6.765517241
27696,16,10.82482759
27698,40,27.06206897
27700,29,19.62
27702,25,16.9137931
27704,4,2.706206897
27706,-1,-0.676551724
27708,-35,-23.67931034
27710,1,0.676551724
27712,-3,-2.029655172
27714,14,9.471724138
27716,12,8.11862069
27718,24,16.23724138
27720,-2,-1.353103448
27722,-2,-1.353103448
27724,-28,-18.94344828
27726,-38,-25.70896552
27728,-38,-25.70896552
27730,-6,-4.059310345
27732,-9,-6.088965517
27734,-6,-4.059310345
27736,-2,-1.353103448
27738,-17,-11.50137931
27740,-15,-10.14827586
27742,-19,-12.85448276
27744,-17,-11.50137931
27746,-33,-22.3262069
27748,2,1.353103448
27750,-18,-12.17793103
27752,6,4.059310345
27754,-2,-1.353103448
27756,-22,-14.88413793
27758,-5,-3.382758621
27760,-11,-7.442068966
27762,-25,-16.9137931
27764,0,0
27766,-8,-5.412413793
27768,10,6.765517241
27770,12,8.11862069
27772,-4,-2.706206897
27774,0,0
27776,5,3.382758621
27778,31,20.97310345
27780,36,24.35586207
27782,15,10.14827586
27784,0,0
27786,-5,-3.382758621
27788,-26,-17.59034483
27790,-13,-8.795172414
27792,23,15.56068966
27794,11,7.442068966
27796,33,22.3262069
27798,42,28.41517241
27800,20,13.53103448
27802,0,0
27804,-29,-19.62
27806,-20,-13.53103448
27808,-18,-12.17793103
27810,15,10.14827586
27812,29,19.62
27814,56,37.88689655
27816,40,27.06206897
27818,2,1.353103448
27820,-37,-25.03241379
27822,-32,-21.64965517
27824,-28,-18.94344828
27826,-32,-21.64965517
27828,-6,-4.059310345
27830,29,19.62
27832,4,2.706206897
27834,-12,-8.11862069
27836,-10,-6.765517241
27838,-60,-40.59310345
27840,-46,-31.12137931
27842,-35,-23.67931034
27844,-29,-19.62
27846,16,10.82482759
27848,-20,-13.53103448
27850,-20,-13.53103448
27852,-25,-16.9137931
27854,-45,-30.44482759
27856,-43,-29.09172414
27858,-31,-20.97310345
27860,-35,-23.67931034
27862,-29,-19.62
27864,-5,-3.382758621
27866,1,0.676551724
27868,-6,-4.059310345
27870,-37,-25.03241379
27872,-49,-33.15103448
27874,-13,-8.795172414
27876,-18,-12.17793103
27878,-17,-11.50137931
27880,7,4.735862069
27882,-14,-9.471724138
27884,13,8.795172414
27886,1,0.676551724
27888,-21,-14.20758621
27890,-30,-20.29655172
27892,-22,-14.88413793
27894,-25,-16.9137931
27896,2,1.353103448
27898,1,0.676551724
27900,7,4.735862069
27902,10,6.765517241
27904,16,10.82482759
27906,-9,-6.088965517
27908,-23,-15.56068966
27910,-5,-3.382758621
27912,0,0
27914,1,0.676551724
27916,-3,-2.029655172
27918,9,6.088965517
27920,-7,-4.735862069
27922,-20,-13.53103448
27924,-6,-4.059310345
27926,-2,-1.353103448
27928,1,0.676551724
27930,-20,-13.53103448
27932,2,1.353103448
27934,-19,-12.85448276
27936,-17,-11.50137931
27938,-12,-8.11862069
27940,-14,-9.471724138
27942,0,0
27944,-10,-6.765517241
27946,-39,-26.38551724
27948,14,9.471724138
27950,-40,-27.06206897
27952,-150,-101.4827586
27954,-78,-52.77103448
27956,-156,-105.542069
27958,-118,-79.83310345
27960,-183,-123.8089655
27962,-101,-68.33172414
27964,12,8.11862069
27966,-7,-4.735862069
27968,54,36.5337931
27970,107,72.39103448
27972,134,90.65793103
27974,75,50.74137931
27976,164,110.9544828
27978,148,100.1296552
27980,192,129.897931
27982,239,161.6958621
27984,241,163.0489655
27986,309,209.0544828
27988,360,243.5586207
27990,322,217.8496552
27992,471,318.6558621
27994,537,363.3082759
27996,439,297.0062069
27998,483,326.7744828
28000,554,374.8096552
28002,571,386.3110345
28004,587,397.1358621
28006,589,398.4889655
28008,711,481.0282759
28010,695,470.2034483
28012,649,439.082069
28014,639,432.3165517
28016,606,409.9903448
28018,647,437.7289655
28020,597,403.9013793
28022,533,360.602069
28024,650,439.7586207
28026,545,368.7206897
28028,554,374.8096552
28030,515,348.4241379
28032,396,267.9144828
28034,453,306.477931
28036,364,246.2648276
28038,375,253.7068966
28040,400,270.6206897
28042,345,233.4103448
28044,384,259.7958621
28046,396,267.9144828
28048,47,31.79793103
28050,393,265.8848276
28052,180,121.7793103
28054,374,253.0303448
28056,49,33.15103448
28058,322,217.8496552
28060,271,183.3455172
28062,237,160.3427586
28064,229,154.9303448
28066,197,133.2806897
28068,65,43.97586207
28070,157,106.2186207
28072,251,169.8144828
28074,135,91.33448276
28076,121,81.86275862
28078,128,86.59862069
28080,271,183.3455172
28082,175,118.3965517
28084,-62,-41.9462069
28086,214,144.782069
28088,-71,-48.03517241
28090,377,255.06
28092,84,56.83034483
28094,181,122.4558621
28096,175,118.3965517
28098,197,133.2806897
28100,90,60.88965517
28102,49,33.15103448
28104,64,43.29931034
28106,59,39.91655172
28108,-36,-24.35586207
28110,-7,-4.735862069
28112,37,25.03241379
28114,-75,-50.74137931
28116,-27,-18.26689655
28118,-7,-4.735862069
28120,-205,-138.6931034
28122,-131,-88.62827586
28124,-132,-89.30482759
28126,-228,-154.2537931
28128,-216,-146.1351724
28130,-140,-94.71724138
28132,-290,-196.2
28134,-236,-159.6662069
28136,-250,-169.137931
28138,-300,-202.9655172
28140,-337,-227.997931
28142,-273,-184.6986207
28144,-334,-225.9682759
28146,-378,-255.7365517
28148,-374,-253.0303448
28150,-380,-257.0896552
28152,-450,-304.4482759
28154,-307,-207.7013793
28156,-412,-278.7393103
28158,-412,-278.7393103
28160,-437,-295.6531034
28162,-302,-204.3186207
28164,-399,-269.9441379
28166,-447,-302.4186207
28168,-357,-241.5289655
28170,-362,-244.9117241
28172,-320,-216.4965517
28174,-262,-177.2565517
28176,-282,-190.7875862
28178,-138,-93.36413793
28180,-210,-142.0758621
28182,-17,-11.50137931
28184,-117,-79.15655172
28186,-88,-59.53655172
28188,32,21.64965517
28190,-35,-23.67931034
28192,-11,-7.442068966
28194,263,177.9331034
28196,-47,-31.79793103
28198,183,123.8089655
28200,48,32.47448276
28202,29,19.62
28204,71,48.03517241
28206,3,2.029655172
28208,15,10.14827586
28210,81,54.80068966
28212,160,108.2482759
28214,43,29.09172414
28216,96,64.94896552
28218,33,22.3262069
28220,-48,-32.47448276
28222,90,60.88965517
28224,-46,-31.12137931
28226,-163,-110.277931
28228,-18,-12.17793103
28230,-104,-70.36137931
28232,-143,-96.74689655
28234,-105,-71.03793103
28236,-268,-181.3158621
28238,-407,-275.3565517
28240,-328,-221.9089655
28242,-367,-248.2944828
28244,-481,-325.4213793
28246,-352,-238.1462069
28248,-539,-364.6613793
28250,-544,-368.0441379
28252,-571,-386.3110345
28254,-583,-394.4296552
28256,-721,-487.7937931
28258,-691,-467.4972414
28260,-646,-437.0524138
28262,-692,-468.1737931
28264,-604,-408.6372414
28266,-690,-466.8206897
28268,-785,-531.0931034
28270,-638,-431.64
28272,-703,-475.6158621
28274,-774,-523.6510345
28276,-651,-440.4351724
28278,-769,-520.2682759
28280,-771,-521.6213793
28282,-623,-421.4917241
28284,-792,-535.8289655
28286,-759,-513.5027586
28288,-609,-412.02
28290,-762,-515.5324138
28292,-694,-469.5268966
28294,-502,-339.6289655
28296,-622,-420.8151724
28298,-562,-380.222069
28300,-433,-292.9468966
28302,-575,-389.0172414
28304,-453,-306.477931
28306,-337,-227.997931
28308,-477,-322.7151724
28310,-374,-253.0303448
28312,-217,-146.8117241
28314,-383,-259.1193103
28316,-302,-204.3186207
28318,-246,-166.4317241
28320,-430,-290.9172414
28322,-281,-190.1110345
28324,-155,-104.8655172
28326,-360,-243.5586207
28328,-193,-130.5744828
28330,-173,-117.0434483
28332,-388,-262.502069
28334,-182,-123.1324138
28336,-192,-129.897931
28338,-348,-235.44
28340,-157,-106.2186207
28342,-160,-108.2482759
28344,-312,-211.0841379
28346,-149,-100.8062069
28348,-202,-136.6634483
28350,-370,-250.3241379
28352,-179,-121.1027586
28354,-279,-188.757931
28356,-354,-239.4993103
28358,-153,-103.5124138
28360,-265,-179.2862069
28362,-388,-262.502069
28364,-193,-130.5744828
28366,-313,-211.7606897
28368,-425,-287.5344828
28370,-241,-163.0489655
28372,-371,-251.0006897
28374,-461,-311.8903448
28376,-240,-162.3724138
28378,-392,-265.2082759
28380,-552,-373.4565517
28382,-698,-472.2331034
28384,-238,-161.0193103
28386,-755,-510.7965517
28388,-673,-455.3193103
28390,-651,-440.4351724
28392,-496,-335.5696552
28394,-203,-137.34
28396,-617,-417.4324138
28398,-263,-177.9331034
28400,-361,-244.2351724
28402,-483,-326.7744828
28404,-408,-276.0331034
28406,-423,-286.1813793
28408,-516,-349.1006897
28410,-389,-263.1786207
28412,-248,-167.7848276
28414,-370,-250.3241379
28416,-282,-190.7875862
28418,-210,-142.0758621
28420,-307,-207.7013793
28422,-226,-152.9006897
28424,-62,-41.9462069
28426,-231,-156.2834483
28428,-151,-102.1593103
28430,27,18.26689655
28432,-172,-116.3668966
28434,-73,-49.38827586
28436,90,60.88965517
28438,-169,-114.3372414
28440,-48,-32.47448276
28442,81,54.80068966
28444,-144,-97.42344828
28446,-1,-0.676551724
28448,97,65.62551724
28450,-102,-69.00827586
28452,42,28.41517241
28454,134,90.65793103
28456,-76,-51.41793103
28458,43,29.09172414
28460,97,65.62551724
28462,-140,-94.71724138
28464,2,1.353103448
28466,23,15.56068966
28468,-169,-114.3372414
28470,-72,-48.71172414
28472,-46,-31.12137931
28474,-232,-156.96
28476,-92,-62.24275862
28478,-105,-71.03793103
28480,-350,-236.7931034
28482,-210,-142.0758621
28484,-229,-154.9303448
28486,-398,-269.2675862
28488,-252,-170.4910345
28490,-224,-151.5475862
28492,-418,-282.7986207
28494,-230,-155.6068966
28496,-266,-179.9627586
28498,-475,-321.362069
28500,-292,-197.5531034
28502,-308,-208.377931
28504,-463,-313.2434483
28506,-269,-181.9924138
28508,-257,-173.8737931
28510,-380,-257.0896552
28512,-160,-108.2482759
28514,-228,-154.2537931
28516,-381,-257.7662069
28518,-169,-114.3372414
28520,-270,-182.6689655
28522,-420,-284.1517241
28524,-192,-129.897931
28526,-224,-151.5475862
28528,-338,-228.6744828
28530,9,6.088965517
28532,-179,-121.1027586
28534,-254,-171.8441379
28536,151,102.1593103
28538,273,184.6986207
28540,51,34.50413793
28542,291,196.8765517
28544,279,188.757931
28546,205,138.6931034
28548,530,358.5724138
28550,344,232.7337931
28552,368,248.9710345
28554,719,486.4406897
28556,411,278.0627586
28558,363,245.5882759
28560,531,359.2489655
28562,96,64.94896552
28564,187,126.5151724
28566,476,322.0386207
28568,961,650.1662069
28570,813,550.0365517
28572,671,453.9662069
28574,690,466.8206897
28576,586,396.4593103
28578,548,370.7503448
28580,607,410.6668966
28582,484,327.4510345
28584,643,435.0227586
28586,-95,-64.27241379
28588,-261,-176.58
28590,493,333.54
28592,324,219.2027586
28594,707,478.322069
28596,675,456.6724138
28598,1123,759.7675862
28600,1562,1056.773793
28602,1422,962.0565517
28604,1011,683.9937931
28606,901,609.5731034
28608,1018,688.7296552
28610,1049,709.7027586
28612,1456,985.0593103
28614,1703,1152.167586
28616,1788,1209.674483
28618,2256,1526.30069
28620,2318,1568.246897
28622,1889,1278.006207
28624,1694,1146.078621
28626,1430,967.4689655
28628,2017,1364.604828
