Time (s),Sensor Value
10.597267866134644,-0.04
10.691468715667725,-0.02
10.7897207736969,0.00
10.884028911590576,-0.09
10.978217840194702,-0.04
11.072364807128906,0.08
11.16662883758545,0.08
11.260780811309814,-0.05
11.354971885681152,-0.05
11.449184656143188,0.04
11.54338788986206,0.09
11.641670942306519,0.05
11.735934972763062,0.05
11.830137729644775,0.02
11.924274921417236,0.01
12.0185227394104,0.12
12.112700939178467,0.06
12.20691204071045,0.06
12.30112886428833,0.17
12.395330905914307,0.13
12.493592739105225,0.04
12.58777666091919,0.12
12.682001829147339,0.01
12.776236772537231,-0.03
12.870442628860474,-0.00
12.964646816253662,-0.01
13.058882713317871,0.07
13.153053998947144,0.03
13.247248888015747,0.10
13.341419696807861,0.21
13.439749956130981,0.20
13.533951044082642,0.15
13.628163814544678,0.08
13.722334861755371,0.01
13.816552877426147,-0.08
13.910754680633545,-0.09
14.00500774383545,-0.15
14.099191665649414,0.04
14.193376779556274,0.10
14.291634798049927,0.01
14.38589596748352,-0.01
14.48009181022644,-0.06
14.574283838272095,-0.05
14.66849684715271,0.04
14.76266884803772,0.00
14.856888771057129,-0.00
14.951069831848145,0.06
15.04533576965332,-0.05
15.143687963485718,-0.04
15.237793684005737,-0.01
15.332022666931152,0.09
15.426267862319946,0.19
15.520426750183105,0.58
15.614710807800293,1.21
15.70882797241211,1.45
15.803024768829346,1.46
15.897227764129639,1.30
15.99551796913147,1.24
16.08971381187439,1.02
16.18390989303589,0.25
16.278174877166748,-0.56
16.372373819351196,-1.01
16.46657681465149,-1.37
16.560759782791138,-1.70
16.654987812042236,-1.74
16.75330090522766,-1.53
16.847445011138916,-0.83
16.941682815551758,0.03
17.035857915878296,0.50
17.130090713500977,1.00
17.224270820617676,1.40
17.318453788757324,1.49
17.412721872329712,1.52
17.50688076019287,1.37
17.601099014282227,1.00
17.6993567943573,0.53
17.79356598854065,-0.19
17.88778781890869,-1.00
17.9819757938385,-1.43
18.076190948486328,-1.59
18.17039680480957,-1.81
18.264604806900024,-1.75
18.35881781578064,-0.97
18.45707082748413,-0.06
18.551320791244507,0.28
18.645519733428955,0.81
18.739736795425415,1.23
18.833914756774902,1.36
18.928122758865356,1.42
19.022318840026855,1.28
19.116528749465942,1.08
19.210683822631836,0.64
19.309022903442383,-0.17
19.40325093269348,-0.96
19.49744987487793,-1.24
19.591705799102783,-1.50
19.685865879058838,-1.80
19.7800509929657,-1.90
19.874265909194946,-1.34
19.968506813049316,-0.29
20.062702894210815,0.33
20.15688991546631,0.76
20.255181789398193,1.29
20.349406003952026,1.47
20.44351077079773,1.34
20.537739038467407,1.14
20.631955862045288,1.01
20.726186752319336,0.77
20.820427656173706,-0.01
20.914560079574585,-0.73
21.008821725845337,-1.30
21.107017993927002,-1.48
21.201300859451294,-1.85
21.2955060005188,-2.09
21.389750719070435,-1.72
21.483919858932495,-0.76
21.578099012374878,0.03
21.672279834747314,0.58
21.766488790512085,1.08
21.86077880859375,1.27
21.958966732025146,1.31
22.05328392982483,1.18
22.147435665130615,1.05
22.241607904434204,0.77
22.335831880569458,-0.01
22.430049657821655,-0.80
22.524220943450928,-1.38
22.61847686767578,-1.74
22.712644815444946,-2.03
22.810901641845703,-2.18
22.905157804489136,-1.91
22.999308824539185,-1.16
23.093536853790283,-0.14
23.18778085708618,0.50
23.28195881843567,0.80
23.376147985458374,1.11
23.470342874526978,1.28
23.56457495689392,1.33
23.662831783294678,1.11
23.757083892822266,0.89
23.85128664970398,0.52
23.94546675682068,-0.41
24.039646863937378,-1.22
24.133910655975342,-1.62
24.228113889694214,-1.81
24.322311878204346,-2.05
24.41651678085327,-1.88
24.514787912368774,-1.30
24.6090087890625,-0.36
24.703189849853516,0.31
24.79736566543579,0.82
24.89160394668579,1.35
24.98577880859375,1.54
25.079993724822998,1.53
25.174237966537476,1.28
25.268422842025757,1.12
25.362632989883423,0.60
25.460937976837158,-0.15
25.55508780479431,-0.84
25.64937400817871,-1.42
25.743576765060425,-1.67
25.837738037109375,-2.00
25.931920766830444,-2.09
26.026142835617065,-1.50
26.120344877243042,-0.55
26.21453285217285,0.30
26.312761783599854,0.76
26.40706992149353,1.12
26.501259088516235,1.27
26.59544086456299,1.47
26.68965792655945,1.31
26.783849954605103,1.11
26.878093719482422,0.81
26.972258806228638,0.08
27.066494941711426,-0.64
27.1647469997406,-1.18
27.25895881652832,-1.56
27.35314679145813,-1.92
27.447381019592285,-1.92
27.541616916656494,-1.53
27.635872840881348,-0.69
27.730002880096436,0.14
27.824196815490723,0.51
27.91840386390686,1.08
28.016650915145874,1.39
28.110926866531372,1.50
28.20514988899231,1.43
28.29927396774292,1.19
28.39351463317871,0.92
28.487685918807983,0.47
28.581926822662354,-0.20
28.676130771636963,-0.98
28.770379066467285,-1.58
28.868692874908447,-1.82
28.9628586769104,-1.88
29.05707287788391,-1.70
29.151269912719727,-1.09
29.245414972305298,-0.11
29.339630842208862,0.41
29.433867692947388,0.79
29.528058767318726,1.36
29.622252702713013,1.49
29.720494747161865,1.48
29.814759969711304,1.29
29.90895175933838,1.18
30.003172874450684,0.73
30.0973699092865,-0.08
30.191614866256714,-0.92
30.285802841186523,-1.51
30.379998922348022,-1.83
30.474220752716064,-2.00
30.572391986846924,-1.97
30.666650772094727,-1.94
30.760900735855103,-1.77
30.855051040649414,-1.65
30.949283838272095,-1.84
31.043547868728638,-1.78
31.13772702217102,-1.67
31.2319278717041,-1.70
31.326148748397827,-1.70
31.420342683792114,-1.78
31.51858162879944,-1.67
31.61286187171936,-1.62
31.707045793533325,-1.76
31.80121874809265,-1.80
31.895405769348145,-1.92
31.98963689804077,-1.97
32.08389091491699,-1.71
32.17808485031128,-1.55
32.27224397659302,-1.69
32.37057185173035,-1.73
32.464725732803345,-1.75
32.55894994735718,-1.67
32.653183937072754,-1.80
32.74734687805176,-1.68
32.841532945632935,-1.69
32.93576979637146,-1.76
33.02995586395264,-1.72
33.12414789199829,-1.77
33.22235703468323,-1.75
33.31670689582825,-1.65
