Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
25,0.006690769205409451,0.5658477973887215,-0.04282615625246088,-3.327007395881451,-10.201572537789687,-91.41488524227958
26,0.00794706727064813,0.5633006191029203,-0.055104009614335384,-3.327007395881451,-10.201572537789687,-91.41488524227958
27,0.003780871118804389,0.5679440235820846,-0.03199555332930883,-2.395865909073309,-11.15961637719157,-91.3337502201555
28,0.006394996792686297,0.5730663971162183,-0.04259387472918703,-3.2803534296665022,-12.319125067864155,-90.8780162171737
29,0.005820611649507916,0.5787524694683126,-0.05823908714360913,-3.42050842408129,-11.498675458273329,-91.26104964841623
30,0.00440525293659653,0.5882438689024212,-0.045764919906452005,-3.3467330960947295,-10.712219692858216,-90.89654579679848
31,0.002772837821437892,0.5647500100983308,-0.04969892549563684,-2.487769408287689,-12.13298764334357,-91.19817440276535
32,0.0030337948898647472,0.5879440601610756,-0.05174395570853963,-3.3860902202714662,-11.660328349741125,-90.81204944059125
33,0.0026606469080427625,0.5752144788375373,-0.03970337356461883,-3.3948364972170926,-11.265375627975358,-90.81731361802092
34,0.003428523058063938,0.5652412316237969,-0.05063702878810816,-3.014489470255103,-11.614503521485677,-91.17884373644983
35,-0.00048597378802275404,0.5604123318448823,-0.042568581048175,-2.921681956380793,-12.309547394494274,-90.75536677860727
36,-0.00046996848901451234,0.5750785859181181,-0.04280184837172035,-2.9558187341116384,-10.75932504414459,-90.80036652641391
37,-0.000720327226952045,0.5753567377115395,-0.04369438534460951,-2.4755623575826378,-11.22427437939847,-90.77013385732444
38,0.0024203277824981382,0.5744193037393696,-0.050558204820433106,-3.4471241817990546,-11.202150744735633,-90.77022498831757
39,-0.0008276766076275254,0.5831719273163092,-0.04428376877279356,-2.879978687141317,-10.884640339227094,-90.3792084307005
40,-0.000708943345373077,0.5829164074714527,-0.0458159133216245,-2.879978687141317,-10.884640339227094,-90.3792084307005
41,-0.00022234694339373856,0.5768526385217884,-0.0389346570215905,-3.2671934424190225,-11.137481060076452,-89.98443474502716
42,-0.00016953256206884764,0.57735553345322,-0.03676483289452017,-3.7403318142759527,-11.610980516125444,-89.97682397485806
43,0.0016366795403828119,0.5756062084580236,-0.052206733376266384,-3.268216753154909,-11.074521933242075,-89.98713485011652
44,0.001825463584644668,0.5758942103368003,-0.051542442413004375,-3.2602629231649023,-12.979575051615354,-89.90616244059723
45,0.0017435768438903766,0.5765950089664824,-0.050756883907121644,-3.2637485632668506,-12.00174843873985,-89.94817597010955
46,-0.001464271159814322,0.577847636542551,-0.044307687790514666,-3.2637485632668506,-12.00174843873985,-89.94817597010955
47,0.00256075417392427,0.5840749944454204,-0.05383660073642006,-3.362833275048091,-11.234878096178562,-90.3774865746735
48,0.0011904554128341722,0.586016154581052,-0.04356535432775994,-3.8640228983053895,-10.741663017709934,-90.38443201178521
49,0.0013113931882478475,0.5839084208485269,-0.0549511118380232,-4.336228830815507,-11.224835083946958,-90.37744241283085
50,0.0014560149520535994,0.5843800843375228,-0.055939814954649184,-3.849463734949811,-11.677026357907373,-90.34687108875333
51,0.0032007646203351552,0.5865415321928157,-0.05161752069309505,-4.326236959134833,-11.108516737431579,-90.38178680496608
52,0.0034059242511547626,0.4567786826776894,-0.04018841484810487,-3.819699231763612,-9.715903216615098,-89.56143593705961
53,0.0015385617536337022,0.5849063296427862,-0.05599040770273457,-4.337752180331613,-11.162117308173771,-90.38004048856484
54,0.00018899952280852046,0.5869648676031965,-0.045442502346556585,-4.337752180331613,-11.162117308173771,-90.38004048856484
55,0.0008101344023008854,0.5852884850139826,-0.05715256442749192,-4.3510800044212585,-11.126601103549486,-90.3565130992524
56,0.0014742984065112587,0.5856769069872191,-0.05511830703835646,-4.816644130156169,-11.608978240478603,-90.349512801803
57,0.002599862831242616,0.5772049416795728,-0.060368482720803335,-4.229266805148799,-13.601666766708128,-91.09680515384922
58,0.0029004185992549066,0.5774020682466644,-0.0594999964097912,-4.229266805148799,-13.601666766708128,-91.09680515384922
59,0.00024346177680601886,0.4613305730028142,-0.04341160477215272,-5.500737755295936,-9.8474365248299,-89.20308167798409
61,0.0018256965447917615,0.5865070062206656,-0.05689848585706343,-4.81816494504167,-11.546400255537735,-90.35212560345296
62,0.0010971507047843909,0.5793987975366136,-0.054525733277903665,-5.177995361631205,-11.796670938896092,-89.9571030792969
64,-0.002882756382139709,0.5963404697271388,-0.05202972520227495,-6.792193161923523,-9.602964314279168,-88.81126293586081
65,0.0007154885771345383,0.5960063749409875,-0.058824063796341794,-4.312870117500568,-10.131656989418454,-89.97681350353525
66,0.0007415450066444583,0.5952825034482339,-0.05875258663684378,-5.2665880454265945,-11.141133993624925,-89.93492917239689
67,-0.0008519621563617586,0.598339935576155,-0.04498880098783392,-5.30150670313519,-10.134334596521795,-89.97713705787143
68,-0.00109411079217694,0.5981842520854999,-0.04591883898259919,-5.30150670313519,-10.134334596521795,-89.97713705787143
69,-0.0017752126933185965,0.5912316050834641,-0.045361826725293104,-4.870591767828324,-11.420698387750287,-90.30765902778526
70,-0.0010337992962877703,0.6009522401954234,-0.04317391796133102,-4.046088776475517,-10.571107900714086,-90.71877907171752
71,-0.0025384593886209578,0.5928660545027613,-0.046015724394618596,-4.927019414546672,-10.341478178870034,-90.32730245794944
72,-0.0027656199291222687,0.6001200525759133,-0.04657240272849455,-4.850995394058201,-10.524021617918823,-89.8991228092464
73,-0.003411883783672492,0.5927924693584429,-0.04598173839335272,-4.950920058412858,-10.361472516098434,-90.30219612721359
74,-0.0030447857153442694,0.6025670390770607,-0.04461563237443276,-4.11176190157843,-10.473155949930824,-90.64852018017288
75,-0.004909925987592826,0.5870300177347598,-0.04548520576534834,-4.560082229527489,-11.554432727418403,-90.60737563773037
76,-0.0030734703400079194,0.619800881833092,-0.04809270914671067,-4.134408963660537,-10.727492466629762,-90.62334696226938
77,-0.005065716394763447,0.5967515856374721,-0.04623605777461813,-4.221290757070127,-11.163634398238761,-90.98885662427071
78,-0.0025941652797227613,0.5919275028290351,-0.03458037157245461,-3.9318566590292816,-10.23058336552393,-91.60462582631683
79,-0.00216152307199827,0.6085245984228796,-0.04236866379864401,-5.098751973141842,-9.702464473166318,-91.55668168819996
80,-0.003825482955383646,0.600435702814989,-0.04117020682778555,-4.241000757208276,-10.568106422689075,-91.87166508198722
81,-0.008162077646597234,0.5986801213731395,-0.0508404822307227,-3.699539287916556,-12.274471113922116,-91.57249066674107
82,-0.007491690679772917,0.5991802272333393,-0.048819394181814926,-4.191626119572255,-11.783705928811395,-91.58443233545118
83,-0.011586915550810976,0.6075225668851776,-0.03241619474622,-4.916923415114452,-10.40125644942374,-91.10463112140478
84,-0.012484386512177472,0.6164662653942482,-0.03334208891805258,-4.581586898149055,-9.09385695677038,-91.5611218616977
85,-0.008784211391515346,0.5990671272976568,-0.04965255280769734,-3.4822604871957274,-11.828835011283164,-92.30125694902675
