Frame,Robot_X,Robot_Y,Robot_Z
1,-0.01357088834188084,0.3653498704694005,-0.008594790452625269
2,-0.012639367728228046,0.3730607007858754,-0.008789800530428351
3,-0.0140173072671987,0.36565093145508026,-0.00859700777121964
4,-0.014219133943564478,0.35471429292163836,-0.008332928302151335
5,-0.01197633305577967,0.370529907718239,-0.013482457878044272
6,-0.012185978888885791,0.36803588063101356,-0.01339240228808048
7,-0.011412387549389,0.3592762460880529,-0.015386283590499823
8,-0.012687850985997267,0.36232809728499604,-0.009079584852532352
9,-0.013385541047981184,0.365424344417954,-0.012768783924067294
10,-0.013471544531899542,0.3624103090976722,-0.012269881159267797
11,-0.013777958627643413,0.3641843187352673,-0.013522196125572317
12,-0.010471809415562961,0.37093666971947237,-0.015525415386395937
13,-0.016200342757199376,0.36834803378143943,-0.02516355789362157
14,-0.01583625658492715,0.36855340949377136,-0.023967658793194777
15,-0.010114669577486388,0.3608265792089605,-0.024250997977767468
16,-0.011162020349000714,0.3621247287625892,-0.016420656223612516
17,-0.01052433864883751,0.3537930270009649,-0.023783163199447177
18,-0.0123139103610207,0.3536927637908215,-0.01598985164978127
19,-0.012926190815565994,0.35381704242954093,-0.022016769831660753
20,-0.009657514075115016,0.350872171675173,-0.02245134585712838
21,-0.0101634029225622,0.3609769699658061,-0.023101896573638404
22,-0.013179287899893947,0.35208940208226347,-0.024625298641948408
23,-0.015575586672924599,0.36571521102592985,-0.022542649773433565
24,-0.01362398740615975,0.3599854948624504,-0.015257595991559243
25,-0.010657648260703489,0.36195925638812193,-0.014494036054109309
26,-0.00990573411899845,0.36801112160595606,-0.01728732915101644
27,-0.010375565508441032,0.3639039361758048,-0.015364005329406481
28,-0.013964373664059846,0.37366430056731126,-0.021605363687561302
29,-0.012312618823967579,0.36405446743765185,-0.025418057723203873
30,-0.010992851699941101,0.3529062202300672,-0.02850533642251689
31,-0.015819813426447525,0.3552640845537443,-0.028410629947277763
32,-0.01164166866923916,0.3541644526912215,-0.019557470743105966
33,-0.010180389753588032,0.364542389855858,-0.02631978535408743
34,-0.009754523489048171,0.36644907110411135,-0.01853882905773071
35,-0.014692982939554343,0.36849383996946633,-0.021697314849211183
36,-0.007353568487950862,0.3570559812874538,-0.012302049477951715
37,-0.0067630027572664,0.3591731760926279,-0.012387516922963283
38,-0.006628398191078425,0.3765739818140905,-0.016635829739480808
39,-0.009710922985563848,0.3628596517418487,-0.025728494670937102
40,-0.01054625153600902,0.36232706294588785,-0.029263938399409217
41,-0.007564076826030638,0.3675736955484914,-0.022246392874949318
42,-0.008157867584921362,0.3761056663350821,-0.024258093094744873
43,-0.007287441430416528,0.3828236838672005,-0.02518562729839397
44,-0.004747347561846228,0.37698735443821624,-0.018753498071872148
45,-0.005006481882908788,0.3753084474202654,-0.021901241522391646
46,-0.0030616683182461274,0.38191614540234864,-0.01805117824142647
47,-0.00231621240484227,0.37592808624490465,-0.01779790068766119
48,-0.0007561977982520505,0.38678102308581297,-0.01944597994571258
49,-0.0003369496026171103,0.3891448895204967,-0.019118241575390604
50,0.0005658075910140166,0.385404199698584,-0.018976510060554445
51,0.0012055218685790275,0.37881595973806226,-0.01868247157284854
52,0.0022108559705668056,0.38618622606280656,-0.01956405664711236
53,0.0029919311343897677,0.3854916347879508,-0.019568038484210154
54,0.003192440326684743,0.38003981660333913,-0.017810855819882634
55,0.004591963927655467,0.3793279719323452,-0.016774158936922134
56,0.006679684678473245,0.37905169104622477,-0.022229514036582465
57,0.005411243361600437,0.37818503725703495,-0.015837792524627393
58,0.007517265212669638,0.39165915929052086,-0.016461159073902165
59,0.008061396670319528,0.3919383700722815,-0.016489534526719557
60,0.008774446017842965,0.39072480619265904,-0.01646127179629793
61,0.008790841270271441,0.39093310570788237,-0.016470409378392795
62,0.009587144958954607,0.39472288169624503,-0.0166520388862609
63,0.011870490192542346,0.4048967443430385,-0.017144131033184476
64,0.010827131295415902,0.39360986438630285,-0.016644217325178214
65,0.01154649800671507,0.39686062559037755,-0.01680113568998544
66,0.01154649800671507,0.39686062559037755,-0.01680113568998544
67,0.011763796231548487,0.39877076780984794,-0.01688699671626611
68,0.012240987562178243,0.39983484329794056,-0.016945826710996766
69,0.013643336348229585,0.40990994946040255,-0.017406616452753026
70,0.013360908922700507,0.40739094819225613,-0.017293514874652197
71,0.013977200487937798,0.4083527558341935,-0.01735240347085943
72,0.013482869951460147,0.40857921011419374,-0.01734651914664788
73,0.013419791877972204,0.39850590570535416,-0.016927168514636846
74,0.013406613067113129,0.39836972124783077,-0.016921118470059476
75,0.014050886822424927,0.40794912573066083,-0.020283754986428905
76,0.013983099246542036,0.40385979261643407,-0.015780605457177847
77,0.01425765526631452,0.4061187250916234,-0.01587633893881616
78,0.014758459739090606,0.402875467808555,-0.021615513878155065
79,0.01609199388812333,0.40784487679231746,-0.021903004110018345
80,0.017558542858511036,0.4111382536156465,-0.019125509512516035
81,0.016271729459565166,0.4103488936787351,-0.01311476659699004
