Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
11,0.10016107492907178,0.47309655118433,-0.06411650345428442,-3.470588570991562,7.520813165811605,-32.251802397507674
12,0.1001771348786297,0.47042250958880183,-0.06072904090786764,-5.1897858607675875,7.024426050739614,-31.706920851220776
13,0.10019274196259684,0.4688672738332015,-0.06056661880202158,-6.251564837367984,7.843371169961506,-31.826045803982684
14,0.10021594732192382,0.47047972131774424,-0.06109520764909248,-5.124216143692913,7.11084806873961,-31.696526197626888
15,0.09112961541362422,0.46986417341368003,-0.08215314057103514,-8.112480778600572,8.07164026170899,-31.323636103157536
16,0.10062524317505624,0.47347854627886926,-0.06110114569291407,-3.388393659111264,7.628800278789027,-32.23864576418438
17,0.0998082821471093,0.46892683871843077,-0.060530390078365484,-4.8738292413604105,6.916850808290324,-31.03089788433386
18,0.10004056600051339,0.4805216774256958,-0.061779859373468894,-2.495938339389317,8.564719702641513,-31.357739465733037
19,0.09943557170452988,0.46976072115831086,-0.06057718633455196,-4.53628553005964,8.347869378623315,-31.61103820732274
20,0.0994584085342786,0.4713001810789917,-0.060829355607344836,-3.3602398216505076,7.567225421653723,-31.5027541380959
21,0.09868001496351302,0.4652065138949777,-0.06001295728662328,-5.87567988947943,7.6998222047538105,-30.413231071822686
22,0.09871419996046002,0.46927573228968733,-0.06318110923444438,-4.9597440466945635,7.194467212214185,-30.949013159110947
23,0.09807418130600618,0.45599633258593253,-0.058973868626785254,-7.533285894764707,7.6134318113258495,-30.664612060381195
24,0.09758755580778374,0.4579839491469182,-0.061787871726291924,-5.927524590394943,7.925506082068772,-31.22829636281203
25,0.09699339909312076,0.44729848020540974,-0.05527110703711097,-8.129693171464503,6.5846942221105635,-30.80494450699103
26,0.09717253363874859,0.4492982032381016,-0.06076212643182098,-6.623264353127375,7.041371171447047,-31.33689897346315
27,0.09647352497441138,0.44975606326036816,-0.06074285454842818,-6.471163758672695,6.948976711764193,-31.372312608851676
28,0.09617848388297963,0.4594195362187113,-0.0618070698381513,-4.846249468621819,7.2409709220976755,-31.07508224866196
29,0.09584273251864787,0.45751631037552376,-0.05899962888841254,-6.156346434876786,8.111633184773051,-31.136132371155778
30,0.09509825819016547,0.45696510349078356,-0.06141924264270754,-6.543092069066332,7.021629083713316,-30.4613008647992
