Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
1,-0.05068357151259307,0.1528698838728791,-0.00938007149419709,-2.168045495503343,-11.077243437030331,89.43227958813428
2,-0.05312389767114946,0.15513206953626532,-0.0093096532141618,-0.8759079373219637,-12.030169462126462,89.3353381168354
5,-0.051371378998073286,0.15421508794676855,-0.01043566077890909,-2.165361628370549,-10.147927044378745,89.43174760711153
6,-0.0528116762701683,0.15898836216578582,-0.010194036831917996,-1.2011497792608243,-11.909989797233198,89.59342404536139
7,-0.05306114258874149,0.15914181742519565,-0.006978378992451795,-2.4812523277226384,-13.094203521932329,89.3378664105346
8,-0.052628928822638046,0.1603687407913741,-0.009418302936198747,-2.249708610763635,-13.422717003055451,89.51165324320273
9,-0.05305526606970062,0.16230310511157953,-0.013809205757835258,-2.3246530013706015,-12.057246239949318,89.56440911832124
10,-0.049349233899464134,0.15842449975349085,-0.010825734198921189,-2.337389774345421,-9.053937102669401,89.80511428937979
11,-0.04874839744409449,0.15497960408945913,-0.010544991754331823,-2.0589381931729513,-8.894444319100135,89.55503620031907
16,-0.04829450114655389,0.15755632386163157,-0.01290360791136308,-3.3831264431431736,-11.492261787452179,89.62846078746325
20,-0.050645822172286394,0.16191362112707874,-0.00980456216986525,-2.729171750961228,-15.089442455967745,89.64898857789673
21,-0.050743482899299475,0.15756453728336406,-0.01199433760542351,-3.290746999694688,-11.41540764407165,89.66403352447246
22,-0.053677591245236946,0.15881015707631774,-0.01050918723636296,-2.0434447163767326,-11.55064955739762,89.19851334655652
23,-0.05769691677672676,0.24583060801101622,-0.01661492690582963,-3.3093489148627233,-8.483111162960672,88.23450227645884
27,-0.050069160862376345,0.15262500071966595,-0.012929211967158794,-2.297103597634254,-11.82184385738727,89.44758620206858
30,-0.05260557943982838,0.15607948102742017,-0.009546903362970038,-0.6180717793778439,-13.371648603206493,89.55896064183891
31,-0.05234619589582288,0.15581784476455293,-0.007078234071954542,-1.249456560304784,-13.787372217742895,89.74423202194538
32,-0.05455124905301091,0.15850253044568258,-0.007265269412671499,-1.8395113531060896,-15.783524647300618,89.32331038216407
33,-0.05542275311529934,0.1578837727383708,-0.0055689915721604255,0.16396232274484718,-15.938108517202974,89.13699271683839
34,-0.05510806524186563,0.1529095148517396,-0.007412093503682299,0.8090682117261351,-12.702461981588785,89.31369158001405
35,-0.05508849902466489,0.1595660914182129,-0.00826617836567406,0.16532044714258995,-17.062847164904646,89.06037380437725
36,-0.05266750148780311,0.15560687072535598,-0.011321781818497717,0.2775563857361115,-13.10861760824364,88.58767931082856
37,-0.05262161444393883,0.1562869405881994,-0.011376274455493274,1.3939918896686503,-14.283101213080803,88.55064512100853
38,-0.05310615564793799,0.15831910674929853,-0.00907072245775975,-0.07424690488569753,-15.881689262264787,89.24017444052336
39,-0.05306241144201651,0.15821175364159562,-0.006590576474574061,0.5387645139533751,-16.585020012027254,89.0234322731678
40,-0.05468962436637343,0.15769722317496768,-0.009109126284331859,-0.07424690488569753,-15.881689262264787,89.24017444052336
41,-0.05524857845590955,0.1580836500604643,-0.008564995384790747,-0.6091918796190607,-14.72602069024115,89.34640543109141
42,-0.05274290294777249,0.1587097120079988,-0.010405678781531563,-0.9348374305344467,-15.420855165347477,89.03135806362388
43,-0.05287723869515715,0.1598834091199609,-0.01048279489282164,-0.6926572102690266,-16.211827267350124,88.43106252500117
44,-0.054285745368844625,0.16076418103100373,-0.007744434104704073,-0.9582149492465544,-15.194013846410776,88.55061041391852
45,-0.05425360826055373,0.1615747035362166,-0.007788197073007236,0.10930214817244786,-16.40142092795841,88.51537583255165
46,-0.05425360826055373,0.1615747035362166,-0.007788197073007236,0.10930214817244786,-16.40142092795841,88.51537583255165
47,-0.05428406361406633,0.16228316632680073,-0.00901468631441743,-1.778271565782129,-16.735890128049515,88.09457578807617
48,-0.05854334834957046,0.1685617196989022,-0.006204832394160059,-1.5665054421892641,-16.827839402249342,89.20460139607503
49,-0.06070062284795931,0.24875893824932502,-0.014754976904241088,-5.3188067969782145,-12.843846559076594,86.90694729756183
50,-0.06179908611321461,0.2479427751112721,-0.009985659594917241,-4.570403585714368,-11.53172030968415,87.3690128288078
51,-0.0560430213024871,0.16646717446711098,-0.009538824563939285,-2.6770497221544627,-14.485082345954275,88.74453233315948
52,-0.05797805187971593,0.16683135300377275,-0.007883566648373225,-2.6015887870977,-12.49334249942098,88.37716434172671
53,-0.05394094202606017,0.1639832919296178,-0.012036773876763107,-2.6386770394173533,-13.983087828711895,88.75486484347566
54,-0.05654488752583753,0.16741175956929627,-0.009594094671338677,-2.186024607562735,-12.402622050139717,88.83430410604682
55,-0.06017685579098776,0.25331717334074166,-0.021028167824766568,-2.5035019922804445,-8.5468071587982,86.72286983866415
56,-0.0623645714206256,0.25255983582140323,-0.014331066609211171,-3.587741849763473,-8.735602278028898,87.53878884080355
57,-0.06245299773395574,0.25827712484675724,-0.016948693483609056,-3.6028986524751687,-9.278989430585112,87.03392064812908
58,-0.06456227795645361,0.2582841025390045,-0.014515435347054365,-3.8242544324185044,-8.977534477184975,87.14080194276997
59,-0.06511307626645745,0.2557100037733688,-0.010284870574797912,-5.558429601590529,-9.96137690062073,87.16701971149692
60,-0.06378799426988421,0.2592265322669577,-0.017010288496480265,-4.2339866020231565,-8.440163228205087,87.08280542133159
61,-0.06710785590737425,0.258502036440916,-0.0069792485398966625,-3.191522046489636,-9.206734428882266,86.95536628792674
62,-0.06551188632335694,0.26080321669910583,-0.012917103590014758,-4.241860730481567,-8.52505197306271,87.0774880452473
63,-0.06642853230992252,0.2630463593767611,-0.00689492864243111,-4.044051373524372,-10.087031311548598,87.3612636539092
64,-0.06550987227709547,0.2603274972338926,-0.012888778311711917,-4.6359755244170895,-7.547851990698633,87.16927659504275
65,-0.06330440897790315,0.2519095452077237,-0.02017912196100506,-5.451047112546493,-7.922968978230068,86.83164417814805
66,-0.06530318962722013,0.2681443191472601,-0.02193998285649202,-4.797699585545369,-10.026615220072253,86.99129457446901
67,-0.06471778517313531,0.26034260644183305,-0.01770370983703424,-4.643375522018586,-7.631364007077865,87.1641250210795
68,-0.0648899420150673,0.2546801613708535,-0.017282807089056426,-5.210855862884996,-6.676214220586974,86.84362512312852
70,-0.06779512237685498,0.2691219196791699,-0.014855588879031704,-3.647077778600537,-10.746101240555957,87.01476589163816
71,-0.06718952610306826,0.26666632840242616,-0.015699305071509018,-4.386944468346678,-9.820097281467254,86.88006552932491
74,-0.06588168135843787,0.2708054899585104,-0.013881737104124617,-3.6137069092430596,-11.060414078848702,87.10820644573478
75,-0.06609598859123551,0.2689554520274076,-0.01377199026972755,-2.616919405652355,-10.834500024384326,87.47948079924824
76,-0.06336493636007154,0.17282651226077894,-0.008488051910926941,-2.6067342146777936,-10.784040185326473,88.96744851741492
77,-0.058499192240173484,0.17402981068909099,-0.009169936836690679,-2.6067342146777936,-10.784040185326473,88.96744851741492
78,-0.05720421853462599,0.1789533070127413,-0.013445181282536328,-1.671316629901234,-14.2560325952237,88.77876426169144
79,-0.058047211530079204,0.18103549325759946,-0.011873660070184283,-0.5632477359792646,-15.952988948158081,88.73130862459908
80,-0.063881085718212,0.2555571915867562,-0.016155993481674104,-2.213139158285451,-9.621597049875094,87.21178762460727
83,-0.06364663749533568,0.1789277998611183,-0.008240986682616663,-0.2188516962618442,-15.608383398260118,86.59309499161425
85,-0.06217101700368848,0.17768987275890624,-0.00668803383534905,1.261332071159342,-15.191156981616462,86.36094899180937
86,-0.0674183005501667,0.2685292421640926,-0.008433691322958958,0.3014363598376012,-12.768396374355207,87.00712643638664
91,-0.06652506352580553,0.1750285084092832,-0.006486691761940999,-0.36866522508766886,-14.768921613192623,86.45284826306627
92,-0.06255425407174865,0.17662559884017173,-0.006614208599429294,-0.36866522508766886,-14.768921613192623,86.45284826306627
93,-0.0675864113915294,0.17905493750321974,-0.006679811332560348,-0.03735524629638499,-14.957901393621631,86.18598184132298
99,-0.06956274492429339,0.18413423588129557,-0.00685233853711012,0.4264181721077764,-14.786117551766763,85.97720072520254
100,-0.07380515685669022,0.27813511802645496,-0.011344332258451068,-1.2710120885347114,-11.670945891583148,85.99831643694549
101,-0.0745588036643545,0.2835469522638218,-0.013902095219457494,-3.146547161476963,-13.695611948248676,85.754483059606
103,-0.07416738197275972,0.271304749823897,-0.01136335964353382,-2.7447420645242775,-11.09411842769371,86.463265220819
106,-0.07269082175057266,0.266025475978121,-0.02252504293222434,-3.3372915953552207,-8.67982183059575,86.1086203991597
107,-0.07605251681412459,0.27408486726769116,-0.011870557815184757,-2.215510992309642,-9.780632291407226,86.62015944437965
108,-0.07722560674642688,0.2825496911832064,-0.012157771841520879,-2.985455401864513,-11.209039708666312,86.40525791335634
109,-0.0721675584398284,0.2670139504309552,-0.021435368138933805,-3.7271099244099237,-7.822184326406093,86.21290695477008
110,-0.07442948036329365,0.2739614827300168,-0.018622301779748454,-2.220438782711294,-9.863466746955442,86.61191528738053
111,-0.07423844278432239,0.278876003222087,-0.02454314530431536,-4.846609270651115,-10.750773860289213,85.60544019073711
113,-0.07681419948543809,0.28511944903622144,-0.009366114037847477,-2.9995903350812996,-11.375845332407735,86.38810512648857
114,-0.07757769991515373,0.2872754831487452,-0.01241950040798253,-3.9600484207652387,-11.914583412674256,86.00987621852713
115,-0.07697800181798709,0.28265558589774425,-0.013050446269168896,-3.914749339464161,-11.843139376455506,86.38193243278012
116,-0.07704615922414074,0.2878507295532334,-0.012480261383316128,-1.8335438857517983,-10.946090286902278,86.45838879996762
117,-0.07763172550603308,0.28851420962699853,-0.010772755959030565,-3.967787921664196,-11.997473365569045,86.00121520222358
118,-0.07683679927174844,0.28897809333963576,-0.012140684984671128,-1.8387887965209617,-11.02973477919519,86.44984327324448
119,-0.07701891380692975,0.2888982720083464,-0.012325783035979102,-1.8387887965209617,-11.02973477919519,86.44984327324448
122,-0.0765132932542144,0.2850326193669723,-0.012325664101789917,-1.8697894809234488,-11.320824654384465,86.06550824937125
123,-0.07614114916974873,0.28432465101163334,-0.014075084190368722,-2.273810186647453,-10.323997971235107,86.2028128817334
124,-0.07478941944750171,0.2790595261704679,-0.019419063918182225,-1.830055526719049,-11.257526790765695,86.43798311836005
125,-0.07636567662254744,0.28763846258629344,-0.014397715404175011,-0.727677863821414,-10.84635430344899,86.13987928855043
126,-0.06507732514214848,0.1900761470289671,-0.015871304295727806,-1.539019728126818,-14.976800818352785,84.89094492308469
127,-0.07288971094121519,0.28416721407114176,-0.024112072952686234,-2.1307689013778908,-11.144640464233175,85.19702411857836
128,-0.07654057300142739,0.2972264859537529,-0.008452379327768992,-0.7053339430799964,-13.073309131353447,85.01221765059498
129,-0.07217537412645429,0.18718157618075135,-0.006827933460060498,-0.4966137604077445,-11.571871535797749,86.6217520958181
130,-0.07654011854881436,0.2908106571531083,-0.012610750597521807,0.11028673543744111,-10.388425807616551,86.14306885279488
131,-0.07654876048846648,0.2923721823998162,-0.012701287921326743,0.9272763845571048,-9.802002943567656,86.16042760091561
132,-0.07667954729783748,0.3000429162915664,-0.012754106986850925,-0.06614455599366156,-11.86717230238554,85.28738130623312
133,-0.07536378292055321,0.292989581092749,-0.020477096587081293,-0.7842326313677528,-10.78276521458584,85.74729580607027
134,-0.07678320188656354,0.29566760187259705,-0.012509556243289269,-0.7726165406832736,-11.153772035446037,85.73503669256469
136,-0.0764297527518453,0.30069771404401646,-0.010007627027288274,0.024062453091245377,-11.635912424990357,85.24458890085896
137,-0.07661191278479405,0.2954322113163266,-0.009770400604945814,0.0611982316993637,-11.557955833093548,84.90689522400476
138,-0.07657301446685894,0.29504837715720234,-0.00988420580427466,-0.40236077877113585,-10.606887022306585,85.05374169407227
139,-0.0774419692127823,0.29649809214426004,-0.00899356910541662,-0.14690860692572538,-11.656434250080101,85.58344068101425
140,-0.07844045995663343,0.30840443374296805,-0.009490047887968256,-1.3767136771324446,-13.742526418801951,84.2851856886641
141,-0.07806262708537157,0.3028732167078893,-0.00925388939744376,0.09524524550018403,-11.8117665360916,85.25732687632156
142,-0.0785953281816867,0.3052130196516946,-0.007902828425474295,-0.5375920888054968,-12.07458085103293,84.20162183524718
143,-0.07876670071037951,0.3025725727890271,-0.009131279899733835,-0.10648108680012557,-10.835453402449444,84.74813670400624
144,-0.08030155751875685,0.30706048983684187,-0.014627282755068576,-1.3224251250035761,-11.852557963801658,85.05711697109192
145,-0.07957991934850829,0.3069001112193241,-0.013811180581021376,-1.3344816750903223,-11.561605860431175,85.06154914927875
146,-0.0802914020424628,0.3016998040914339,-0.013373933481445353,-1.9607502102923486,-10.835070633060212,84.79220755806419
147,-0.08036614965457049,0.3015151168201512,-0.011934780767298425,-2.353831155805068,-9.872119067193543,84.93247055241419
148,-0.0780986163324019,0.2980499204211958,-0.02527420106498971,-2.459996358558879,-9.975618331622929,84.73159658463238
149,-0.07885229290640296,0.30106519198601006,-0.02447447461902119,-3.5717979819212924,-10.272297999558923,85.03009518251211
150,-0.08143980383494816,0.30232284523193875,-0.014105742750833164,-2.285228134744715,-9.961459530411615,84.95669384345892
151,-0.07811440618861028,0.2995439918580592,-0.016814976840238485,-2.7735990090132776,-7.915478492900253,84.61329585750943
152,-0.07874422891101025,0.3042148657869188,-0.017093079379416606,-2.7830985002133866,-10.131601508108107,84.7321807451562
153,-0.08121072901109919,0.30882096300017553,-0.016307239406468034,-2.92574933590591,-11.203512865149657,84.48589292366175
154,-0.07898799728630809,0.30280391510885374,-0.0166646616659561,-4.26037367485064,-9.969844084782132,84.79081033331089
155,-0.07870103341342688,0.299021437023092,-0.01644347716822766,-4.855102456906801,-10.049715946611384,84.14623583182856
156,-0.08022894498150611,0.3081163551147823,-0.019011206855901568,-3.631244032438234,-10.787837791141323,84.36903204532501
157,-0.07851109115814481,0.2966849304641584,-0.01829055849000319,-4.328399516785513,-8.91840020155524,84.64076578500422
158,-0.07960040240361164,0.30277483631164964,-0.016651526843729107,-4.197292281450474,-9.744415925964514,84.81624790337001
159,-0.08027539818263028,0.30665138232316846,-0.01687112577714575,-4.5311267771414485,-11.254619956017134,84.37072511627161
160,-0.08021212526797253,0.30483115210912426,-0.018798302875772735,-3.592215493822606,-11.081366525954005,84.74906148628554
161,-0.08050562732832568,0.30188553962659803,-0.01893460137309179,-4.748800101810137,-11.532091659228977,84.6888273841557
162,-0.08032024142854614,0.3025035824837417,-0.01662189002581472,-4.748800101810137,-11.532091659228977,84.6888273841557
163,-0.08049655127324255,0.3066474990888322,-0.016866778822681963,-3.2333034717592706,-12.220520916076591,84.60400213128474
164,-0.08226882811232412,0.3096837760236861,-0.010342263617630375,-2.5537831110983316,-12.036845617505621,84.87064819384598
165,-0.08195275542157668,0.3051853080400365,-0.012729007718387336,-2.0162042298189866,-10.493654947011018,84.69093467404534
166,-0.08113915219385821,0.3128904040616275,-0.01836152542346673,-2.5043395599904166,-13.117670174369847,84.90492478582925
167,-0.08011326116098987,0.3045844214853053,-0.017857067843146238,-4.166731758276904,-12.694094170279525,84.60724188457326
168,-0.0804318852310948,0.30988121248058315,-0.01818383182828763,-2.029100872391278,-11.78495286181998,84.66664288481516
169,-0.08069130911363516,0.3097686197324541,-0.018384999925867784,-2.029100872391278,-11.78495286181998,84.66664288481516
170,-0.08011699601112363,0.30087432332139113,-0.017624762105103227,-3.5474303189356964,-11.111409975933634,84.40184910131373
171,-0.08118362511745708,0.318614144143755,-0.01757064907617159,-2.355557754892991,-13.290870863143835,83.79800996044987
172,-0.08086143191397557,0.31553946238382113,-0.018531547968939098,-3.667585685516675,-13.768228508034113,83.73107749886495
173,-0.08123323624786606,0.3144597224886474,-0.017320928057550096,-2.623309094424093,-13.610106148992713,84.11415287171812
174,-0.07456784505417646,0.2176910917017959,-0.011744572282438304,0.6305388012782152,-14.284453787227271,83.81165200900418
175,-0.07994542280506504,0.31068139088470564,-0.018610447900746042,-1.8275377823462624,-11.86832906107729,83.96441203345829
176,-0.07994542280506504,0.31068139088470564,-0.018610447900746042,-1.8275377823462624,-11.86832906107729,83.96441203345829
177,-0.08019537059932826,0.30456373105191586,-0.016049721771517575,-2.472768149344314,-10.756209359800588,83.70315685421284
178,-0.0796455338301221,0.31341522985992987,-0.018798345012032085,-2.793117289429413,-12.17436310961268,83.56943651369652
179,-0.07973133578621129,0.31595304803105023,-0.018964009555911494,-1.877863671622394,-11.711008154319423,83.56572320022396
180,-0.080336362394504,0.31739606008989235,-0.018195200381215006,-3.4555617817444855,-13.9329254829102,83.01141820155485
181,-0.07626046335828976,0.2257259663651283,-0.012161219898805059,1.298182022856337,-14.78719940069439,83.15515404962038
182,-0.08141781495952997,0.3175239561190252,-0.012566074291226616,-2.0261057934189783,-10.785986365046842,83.03379051989751
183,-0.08260395756168959,0.3215440607453677,-0.012809738856587989,-1.4362378427933202,-12.051549751105133,83.17838463757187
184,-0.0831688176065686,0.32690361343055097,-0.013066104275193273,-1.404364715209561,-11.846597304118971,83.54913950154977
185,-0.0837004379315951,0.3299209151149406,-0.013199159005922046,-2.658642010207497,-12.511937968216424,83.06322622571909
186,-0.08407169254333395,0.3317601185626691,-0.010364799787683714,-0.5067239357448686,-11.77918676862598,83.52740740542325
187,-0.08416356599003814,0.33438454491602493,-0.015723303842024524,-2.6852251151827686,-12.635885097972054,82.96039967609316
188,-0.08387481988080953,0.32266437624042976,-0.021437048970724792,-1.4982669589227742,-11.008474999824791,83.48968063363776
189,-0.0826252845795003,0.32860397783506,-0.024081020790212744,-3.3039281774201013,-11.943618246976481,82.68482444901947
190,-0.0849088330211457,0.33592673319798794,-0.016817483377963426,-1.5015803169633772,-11.006690678568214,83.44123800672111
191,-0.08514974298200895,0.32845391388600204,-0.01684624718478754,-2.811241217234325,-10.799314409807318,83.19919862460297
192,-0.08333238300259492,0.3303468546228884,-0.024776272236717065,-1.5436381182727874,-8.610126773577628,83.35938197910997
193,-0.08326498665834743,0.32978413556956593,-0.024174948032286238,-1.8952104471080833,-10.089576480685631,83.23223655061707
194,-0.08419071515221796,0.3350183912817221,-0.02455005777161199,-2.3463018763508554,-9.268004044160978,82.94721597063216
195,-0.08711704025913194,0.34055674003423625,-0.017534900671398956,-2.7538551496252826,-10.56127269277647,83.18144082618201
196,-0.08717773827456034,0.3445935829478561,-0.015986683508422493,-1.9045593601320212,-10.392818747249786,83.16846206468767
197,-0.08465294198672013,0.3338798326896227,-0.02322394280078039,-3.0933240567895597,-9.602546864852663,82.97796607902404
198,-0.08769095827503882,0.3423673053571058,-0.02611263067693969,-2.284746119753391,-9.246302094368557,83.3269152593507
199,-0.08671547804579562,0.33194557434534433,-0.025312413810736456,-2.9006637604799574,-8.787099735311905,83.41349195794915
