Frame,Robot_X,Robot_Y,Robot_Z,Roll_deg,Pitch_deg,Yaw_deg
1,0.3246860396165145,0.725991332540928,-0.12761802637240588,-4.088673022799907,1.217383256232113,4.827950126529935
2,0.322541122790233,0.7139262764274396,-0.12567186193388433,-4.869597478772733,1.7112391203396906,5.133201457522421
3,0.32258722064639117,0.7143841612892879,-0.12317090064941262,-4.869597478772733,1.7112391203396906,5.133201457522421
4,0.3230526127550992,0.7156651355894715,-0.11467714224427619,-4.869597478772733,1.7112391203396906,5.133201457522421
5,0.32137749006894706,0.7077224903520101,-0.11459729872429426,-7.037897152271891,2.275951798279957,4.210520573608782
6,0.3259513080504735,0.7068082947276214,-0.08580520780624082,-3.354066413562673,1.8489827701299908,5.164106180562664
7,0.3291529442567299,0.7174738832088171,-0.08694918986001685,-2.7196746072158677,1.3567575289938951,4.824829498775431
8,0.32390049394710374,0.713378487053316,-0.11251418476550851,-5.075681850519685,3.243840167615159,4.911524467023894
9,0.3300449025755756,0.7209425621762943,-0.09599468183431172,-1.4869988555053972,3.0839478619956417,5.496329850940574
10,0.31762393193574473,0.7226037004441179,-0.13124380951250056,-2.928598348337224,5.076898547063093,6.228407684853461
11,0.3303912054656067,0.7159915653488363,-0.08449762608140496,-2.013088919223736,2.267171244401952,4.841124754732754
12,0.33016484860695383,0.7163843599334262,-0.08774899618882828,-1.9919550858094832,2.2123662650579146,4.8124785735309015
13,0.33757359965139966,0.722894616854432,-0.06298752381001635,-0.21684337097940745,-0.3274325213041904,5.5251489234854985
14,0.33725670635572685,0.7219928816746131,-0.06266871033177657,-1.1619429656799527,0.3148320520746176,5.3521274645991666
15,0.33364364505979405,0.7264874918385397,-0.09434516778217715,-2.131077016796904,2.4247555543178265,4.329956991050162
16,0.33147260368350734,0.7161900392312623,-0.09249831995910131,-1.981839593810467,2.1724016503495034,4.78259768838125
17,0.33147260368350734,0.7161900392312623,-0.09249831995910131,-1.981839593810467,2.1724016503495034,4.78259768838125
18,0.33139217188949444,0.7157788293552492,-0.09553028835849205,-1.981839593810467,2.1724016503495034,4.78259768838125
19,0.33328803760885917,0.7222422579778114,-0.09632697896623761,-1.448336507116149,2.947480783681902,5.407639008553792
20,0.33616769688455805,0.7288779680754065,-0.08848782856927231,-1.161791334125759,1.673727375452275,4.440516759185823
21,0.3332035850533067,0.7167735366358804,-0.0902143109549432,-1.971631214639806,2.1324629763454586,4.752746043241176
